dataset_name,measure_name,num_stacks_used,native_avg_time_per_slice_sec,avg_time_per_slice_sec_128,avg_time_per_slice_sec_512,avg_time_per_slice_sec_1024
TBF,Intensity Variance,10,0.01805075655982364,0.00017765779979526995,0.0006355176586657763,0.0022463625404634513
WBC,Intensity Range Index,10,3.4282697597518564e-05,1.4402519154828041e-05,0.0001484949595760554,0.0007570151405525394
TBI,Intensity Range Index,10,0.008465089160308708,7.024125981843099e-05,0.00024350191932171584,0.0008660415202029981
PBS,Intensity Range Index,10,0.007995830060972367,7.683141942834482e-05,0.0002639602404087782,0.0009555299408384599
BMA,Intensity Range Index,10,0.00837428389932029,7.623755984241142e-05,0.0002338422607863322,0.0009661238404805772
TBF,Intensity Range Index,10,0.008258467780251522,6.999320001341403e-05,0.000246470378478989,0.0009881072214921005
WBC,Maximal Intensity,10,3.2922741083893925e-05,1.119241933338344e-05,8.727038162760436e-05,0.0004883769605658017
TBI,Maximal Intensity,10,0.006144963360857219,5.769030045485124e-05,0.00015870841918513178,0.0005773313410463742
PBS,Maximal Intensity,10,0.0057607440787251106,6.099771911976859e-05,0.0001680326819769107,0.0005873309803428128
BMA,Maximal Intensity,10,0.0057221243405365385,6.164612044813111e-05,0.00016171997966011987,0.0006210559202008881
TBF,Maximal Intensity,10,0.005656254779605661,6.115155963925644e-05,0.00016678890038747342,0.0005780281819170341
WBC,Laplacian Energy,10,0.0006551232797210104,0.0003085819398984313,0.004069633280741982,0.02064799197949469
TBI,Laplacian Energy,10,0.1446757801406784,0.0004913972204667516,0.005053891799470875,0.022148589459829962
PBS,Laplacian Energy,10,0.13691006105975248,0.0004818527001771145,0.0051203540401184,0.02077557996060932
BMA,Laplacian Energy,10,0.14032140087976586,0.0005613667398574762,0.005269933220697567,0.022620719159021974
TBF,Laplacian Energy,10,0.13034936375974213,0.000524849180073943,0.004726443920808379,0.01998808143893257
WBC,Mean Absolute Laplacian,10,0.0006334464397514239,0.000287817579228431,0.004579390420403797,0.02063380262028659
TBI,Mean Absolute Laplacian,10,0.146342734740756,0.0005348284798674286,0.0052776063789497125,0.0218462044003536
PBS,Mean Absolute Laplacian,10,0.1404722432993003,0.0005355507400236092,0.005095417718112003,0.021901024939725174
BMA,Mean Absolute Laplacian,10,0.13462065465952036,0.0005333607399370521,0.00519002024026122,0.019633029800606893
TBF,Mean Absolute Laplacian,10,0.13852607260050717,0.0005240271802176721,0.004982908021484036,0.03685020343953511
WBC,Spatial Frequency,10,0.000127709660155233,7.526839995989575e-05,0.0008423069803393446,0.004183773721742909
TBI,Spatial Frequency,10,0.03474007194134174,0.00020603780227247627,0.0013902690206305125,0.00506619971973123
PBS,Spatial Frequency,10,0.031681036060035694,0.00022188442089827732,0.0012510872789425775,0.004977231299271807
BMA,Spatial Frequency,10,0.031539652058272624,0.00021230819984339178,0.0012805936799850314,0.005073170860123355
TBF,Spatial Frequency,10,0.03237337724014651,0.0002063369401730597,0.0013032204803312198,0.005253299819887616
WBC,Modified Tenengrad,10,0.0016410153402830474,0.000724746499909088,0.010520458980172407,0.05017212466016645
TBI,Modified Tenengrad,10,0.3341081327202846,0.0009714947393513285,0.011673392060329206,0.051972831760940606
PBS,Modified Tenengrad,10,0.3125883528208942,0.0009453512806794607,0.011455133398121688,0.04556384155876003
BMA,Modified Tenengrad,10,0.2948928419602453,0.0009354711999185383,0.011141063200193457,0.04694613684085198
TBF,Modified Tenengrad,10,0.3084099900408182,0.0010294186402461491,0.01086674566118745,0.04433519607875496
WBC,Absolute Central Moment 2,10,6.553438113769516e-05,3.166118141962215e-05,0.0005233939993195235,0.002531549461709801
TBI,Absolute Central Moment 2,10,0.02385415830096463,0.00014031631959369407,0.0007797795796068385,0.002995412360469345
PBS,Absolute Central Moment 2,10,0.02227021008118754,0.00015843570057768374,0.0008582837408175692,0.003465087658842094
BMA,Absolute Central Moment 2,10,0.02087009567883797,0.00014615988009609283,0.0007923523991485126,0.0028881161005119794
TBF,Absolute Central Moment 2,10,0.021771404200117105,0.00018006254074862227,0.0008311684193904512,0.0031389500593650157
WBC,Absolute Central Moment 4,10,0.0005979507995652967,0.0002444708810071461,0.003764074898790568,0.015504564220027533
TBI,Absolute Central Moment 4,10,0.08957807988044805,0.0003781422012252733,0.004060106700926554,0.01693189596029697
PBS,Absolute Central Moment 4,10,0.08343807666009524,0.0003657335604657419,0.0038717239402467386,0.015133667939808219
BMA,Absolute Central Moment 4,10,0.09446274270041613,0.0004187741197529249,0.004323266179999337,0.01608360322105
TBF,Absolute Central Moment 4,10,0.08474665932008066,0.0003735006792703643,0.003917636420519557,0.015407427719619591
WBC,Image Power,10,3.457051905570552e-05,1.873646047897637e-05,0.000229543999012094,0.001084907878539525
TBI,Image Power,10,0.011984611160005442,7.468142168363556e-05,0.0003483300388325006,0.0013471207389375195
PBS,Image Power,10,0.0105016828989028,7.61826999951154e-05,0.0003651874203933403,0.0013000821808236652
BMA,Image Power,10,0.010424800781183876,7.586770021589473e-05,0.00034959272132255135,0.001203512241190765
TBF,Image Power,10,0.010550969119358343,7.731386052910239e-05,0.00033983478060690687,0.0013549674791283905
